time,latitude,longitude,depth,mag,rms,magNst,Distance_to_Nearest_Fault,TimeToNext,year,month,day,hour
1989-08-24 18:55:21.160000+00:00,41.687,49.273,33.0,5.2,1.1,11.0,0.6725996634836724,9.0,1989,8,24,18
1989-09-08 20:12:15.960000+00:00,43.395,46.604,33.0,4.7,1.5,8.0,1.2579832962185995,15.0,1989,9,8,20
1989-12-02 04:51:56.590000+00:00,38.64,45.373,10.0,4.6,0.9,6.0,0.1749203897485527,84.0,1989,12,2,4
1989-12-03 07:39:06.630000+00:00,38.315,45.216,10.0,4.7,1.1,32.0,0.005560102805076807,1.0,1989,12,3,7
1990-01-03 08:25:06.430000+00:00,42.243,48.303,10.3,4.9,1.4,42.0,0.9478229953361446,31.0,1990,1,3,8
1990-01-07 06:50:23.120000+00:00,41.321,49.452,33.0,4.6,0.8,5.0,0.4257222735305214,3.0,1990,1,7,6
1990-04-20 23:30:03.480000+00:00,40.002,40.069,14.0,5.4,1.4,23.0,0.024494203496854473,103.0,1990,4,20,23
1990-05-27 18:27:57.360000+00:00,40.869,44.236,10.0,4.9,1.3,55.0,0.016141363301309962,36.0,1990,5,27,18
1990-06-20 21:30:12.120000+00:00,37.495,48.792,10.0,4.7,1.1,13.0,0.20297566467189476,24.0,1990,6,20,21
1990-06-20 21:41:32.480000+00:00,37.705,48.961,10.0,4.5,1.0,7.0,0.02887480461023224,0.0,1990,6,20,21
1990-06-21 00:22:33.470000+00:00,37.326,49.415,10.0,4.6,0.8,11.0,0.22275150342029157,0.0,1990,6,21,0
1990-06-21 00:35:51.870000+00:00,37.462,48.961,10.0,4.5,0.6,13.0,0.06979077919607447,0.0,1990,6,21,0
1990-06-21 04:40:26.220000+00:00,37.508,49.63,10.0,4.5,0.9,11.0,0.4678816670164415,0.0,1990,6,21,4
1990-06-21 23:13:07.880000+00:00,37.286,49.642,10.0,4.5,0.8,1.0,0.25167732987686414,0.0,1990,6,21,23
1990-06-22 06:07:50.100000+00:00,37.257,48.854,10.0,4.6,1.5,1.0,0.2089275098902514,0.0,1990,6,22,6
