time,latitude,longitude,depth,mag,rms,magNst,Distance_to_Nearest_Fault,TimeToNext,year,month,day,hour
1983-04-06 07:35:46.570000+00:00,39.882,40.411,0.11538461538461539,0.45454545454545414,1.0,51.0,0.05866404806295033,0.019159649834504192,1983,4,6,7
1983-04-12 17:13:46.880000+00:00,40.577,50.068,0.46923076923076923,0.09090909090908994,1.6,4.0,0.039145933270275234,0.02856296319545786,1983,4,12,17
1983-06-03 16:34:43.320000+00:00,41.296,50.849,0.46923076923076923,0.2727272727272725,1.0,15.0,0.4992920338574366,0.23190256407162047,1983,6,3,16
1983-06-20 00:28:36.140000+00:00,39.915,42.095,0.11538461538461539,0.09090909090908994,1.2,6.0,0.04841760006790554,0.07286024323050665,1983,6,20,0
1983-10-03 11:15:05.190000+00:00,37.232,43.665,0.11538461538461539,0.09090909090908994,1.1,11.0,0.16542566443796103,0.47051237878406926,1983,10,3,11
1983-10-30 04:12:27.130000+00:00,40.33,42.187,0.14,1.0,1.1,23.0,0.03818313080778893,0.11916421180836445,1983,10,30,4
1983-10-30 05:26:24.750000+00:00,40.711,42.313,0.11538461538461539,0.0,1.4,7.0,0.041389523726157305,0.00022917390918405264,1983,10,30,5
1983-10-30 12:40:22.850000+00:00,40.337,42.171,0.2230769230769231,0.7272727272727266,1.0,45.0,0.02889639775924647,0.0013446967439134673,1983,10,30,12
1983-11-01 18:03:25.590000+00:00,40.399,42.296,0.11538461538461539,0.18181818181818166,1.2,8.0,0.026454532872977044,0.009924975505677006,1983,11,1,18
1983-11-02 00:15:16.120000+00:00,40.231,42.166,0.11538461538461539,0.18181818181818166,1.4,13.0,0.0010845403837091484,0.001152192250816447,1983,11,2,0
1983-11-02 00:24:20.180000+00:00,40.271,42.05,0.11538461538461539,0.2727272727272725,1.1,23.0,0.05390670978570334,2.8097123464982506e-05,1983,11,2,0
1983-11-02 14:56:00.750000+00:00,40.152,41.836,0.11538461538461539,0.0,1.1,7.0,0.04021848840566322,0.002700980723778554,1983,11,2,14
1983-11-09 03:51:00.990000+00:00,42.478,45.326,0.46923076923076923,0.0,1.1,12.0,0.018175140345906553,0.029173384899971053,1983,11,9,3
1983-11-18 01:15:35.670000+00:00,39.781,39.463,0.3784615384615385,0.45454545454545414,1.1,56.0,0.007961561139370717,0.0396763381593573,1983,11,18,1
1983-12-17 00:14:24.860000+00:00,41.176,44.118,0.46923076923076923,0.09090909090908994,1.3,11.0,0.08863634466349027,0.12920820011041736,1983,12,17,0
